timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
8885,-98.36,29,0,0,1,8.68,0.0,2338.8,0.6878
8904,-98.38,19,0,0,1,11.233,0.0,4709.9,0.6841
8944,-101.39,40,0,0,1,3.948,0.0,4825.8,0.5495
8997,-98.59,53,0,0,1,7.178,0.0,4255.9,0.655
9172,-96.96,175,0,0,1,5.752,0.0,2587.4,0.6642
9202,-97.32,30,0,0,1,12.475,0.0,4570.2,0.6401
9227,-98.13,25,0,0,1,11.761,0.0,445.0,0.6577
9246,-98.54,19,0,0,1,10.953,0.0,3400.1,0.6211
9290,-99.06,44,0,0,1,6.377,0.0,1461.6,0.7497
9500,-95.97,210,0,0,1,6.397,0.0,1562.4,0.6378
9549,-99.08,49,0,0,1,7.599,0.0,3526.2,0.6561
9716,-101.04,167,0,0,1,4.257,0.0,4030.2,0.6626
9765,-97.14,49,0,0,1,8.709,0.0,4606.8,0.7739
9813,-100.75,48,0,0,1,4.625,0.0,1138.7,0.8101
9898,-98.77,85,0,0,1,6.214,0.0,4533.2,0.6693
9969,-97.91,71,0,0,1,6.852,0.0,4313.1,0.571
10007,-98.84,38,0,0,1,7.194,0.0,1635.4,0.7551
10048,-99.22,41,0,0,1,6.101,0.0,384.0,0.8317
11548,-109.98,1500,0,0,0,0.696,0.0447,4128.0,0.3541
13048,-84.69,1500,0,0,0,0.332,0.002,4297.8,0.659
14548,-86.1,1500,0,0,0,0.571,0.01,2532.4,0.6813
16048,-482.49,1500,0,0,0,0.423,0.5347,1000.4,0.273
17548,-389.01,1500,0,0,0,1.042,0.4267,1138.7,0.2804
19048,-151.94,1500,0,0,0,4.361,0.2033,3554.8,0.2375
20548,-74.31,1500,0,0,0,2.874,0.0547,4832.4,0.3494
22048,-483.57,1500,0,0,0,0.061,0.526,1595.9,0.06
22839,-380.79,791,0,0,1,0.67,0.6081,267.5,0.2225
24339,-87.14,1500,0,0,0,0.156,0.0,3554.8,0.1029
25839,-520.15,1500,0,0,0,0.079,0.5753,3752.9,0.1237
27339,-100.06,1500,0,0,0,0.054,0.0147,947.4,0.1956
28839,-94.55,1500,0,0,0,0.207,0.0113,2984.3,0.3777
30339,-88.29,1500,0,0,0,0.086,0.0,2047.4,0.3078
30363,-99.26,24,0,0,1,21.492,0.375,2681.0,0.9248
31863,-343.79,1500,0,0,0,0.211,0.3433,80.7,0.198
33363,-84.54,1500,0,0,0,0.437,0.004,3371.3,0.1441
34863,-86.92,1500,0,0,0,0.366,0.0047,1470.4,0.2598
36363,-108.28,1500,0,0,0,0.497,0.0367,3035.7,0.2315
37863,-113.23,1500,0,0,0,2.569,0.0987,3042.5,0.1876
39363,-86.04,1500,0,0,0,0.347,0.0033,3226.4,0.1333
39548,-74.14,185,0,0,1,14.414,0.0054,1228.8,0.543
41048,-26.01,1500,0,0,0,3.323,0.0033,3030.4,0.2982
42548,-72.98,1500,0,0,0,0.886,0.0013,3547.4,0.2414
44048,-225.89,1500,1,0,0,5.475,0.2873,5861.7,0.3985
45548,-545.75,1500,0,0,0,0.627,0.622,2113.4,0.1548
47048,-198.9,1500,0,0,0,1.348,0.1787,3030.4,0.1527
48548,-77.28,1500,0,0,0,0.726,0.0,3534.9,0.0988
50048,-81.34,1500,0,0,0,0.515,0.002,1000.4,0.1755
51548,-92.57,1500,0,0,0,0.251,0.0107,2244.1,0.2228
51742,-113.35,194,0,0,1,3.636,0.1186,4659.5,0.4792
51980,-107.49,238,0,0,1,4.67,0.0672,4659.5,0.4871
53480,-83.2,1500,0,0,0,0.876,0.014,1896.2,0.2983
54980,-77.81,1500,0,0,0,1.097,0.0127,3608.0,0.2159
56480,-78.34,1500,0,0,0,3.302,0.0707,1622.6,0.3039
57980,-131.77,1500,0,0,0,1.932,0.1093,4840.0,0.2816
59480,-88.58,1500,0,0,0,0.114,0.0013,1440.8,0.171
60980,-87.46,1500,0,0,0,0.136,0.0,1729.9,0.1559
62480,-503.48,1500,0,0,0,0.166,0.5553,4903.9,0.1105
63980,-142.63,1500,0,0,0,0.13,0.0733,2852.8,0.1979
65480,-209.24,1500,0,0,0,0.447,0.168,4553.0,0.1533
66980,-110.22,1500,0,0,0,0.116,0.03,1072.3,0.2402
67063,-127.32,83,0,0,1,2.791,0.6024,3856.8,0.1539
68563,-685.05,1500,1,0,0,0.095,0.1593,5006.5,0.0813
70063,-91.74,1500,0,0,0,0.294,0.01,859.1,0.2556
70133,-108.67,70,0,0,1,2.768,0.2,1366.4,0.2208
71633,-255.08,1500,0,0,0,0.144,0.2233,1610.7,0.0385
73133,-98.92,1500,0,0,0,0.169,0.016,440.0,0.1239
74633,-74.65,1500,0,0,0,0.827,0.0,4832.4,0.1139
76133,-75.99,1500,0,0,0,0.816,0.0,1588.6,0.2828
77633,-80.92,1500,0,0,0,0.52,0.0,4835.4,0.291
79133,-94.48,1500,1,0,0,6.357,0.1353,6166.1,0.2024
80633,-78.59,1500,0,0,0,2.63,0.0527,4825.8,0.2519
82133,-364.75,1500,0,0,0,2.528,0.4327,1580.5,0.1712
83633,-87.57,1500,0,0,0,0.223,0.002,741.0,0.1704
85133,-80.58,1500,0,0,0,0.559,0.0013,2078.6,0.0886
86633,-55.49,1500,0,0,0,2.338,0.0133,1166.1,0.1993
86726,-63.27,93,0,0,1,41.294,0.1828,3044.3,0.344
88226,-90.07,1500,0,0,0,1.691,0.0447,3041.5,0.2324
89726,-83.49,1500,0,0,0,0.53,0.004,3541.2,0.224
91226,-89.4,1500,0,0,0,0.218,0.004,3035.7,0.1364
92726,-91.76,1500,0,0,0,2.073,0.058,3058.4,0.1499
94226,96.62,1500,0,0,0,10.244,0.0187,4825.8,0.2515
95726,-89.39,1500,0,0,0,0.047,0.0,3035.7,0.0963
97226,-49.28,1500,0,0,0,2.04,0.0,3038.1,0.149
98726,-57.9,1500,0,0,0,1.675,0.0,4820.1,0.165
100226,-26.7,1500,1,0,0,5.614,0.016,5442.3,0.2594
101726,-83.78,1500,0,0,0,0.387,0.0013,3752.9,0.1543
102582,-67.15,856,0,0,1,8.95,0.0339,3274.4,0.3508
104082,-26.14,1500,0,0,0,3.172,0.0,3415.7,0.2356
105582,-290.16,1500,0,0,0,0.218,0.2713,3030.5,0.0609
107082,-75.11,1500,0,0,0,0.795,0.0,2113.4,0.1523
108582,-297.46,1500,0,0,0,1.149,0.3067,1166.1,0.0938
